Longitude,Latitude,Decennial Population Count
-73.9155601,40.7700983,0
-73.9187782,40.7690061,304
-73.9267156,40.7610113,640
-73.9243237,40.7598865,619
-73.9268974,40.7539779,53
-73.9416569,40.7525517,96
-73.9373672,40.752245,125
-73.9338083,40.7523394,613
-73.9224313,40.7788883,0
-73.917835,40.7827147,220
-73.9121599,40.7822169,520
-73.9109189,40.7779906,460
-73.9257746,40.774187,284
-73.9326045,40.754851,27
-73.9478363,40.7504765,19
-73.8736516,40.7673446,255
-73.8690464,40.7693429,0
-73.9442271,40.755844,1097
-73.9267123,40.764199,1661
-73.9062714,40.7671505,0
-73.8898159,40.7617923,132
-73.8756624,40.7622239,262
-73.9192422,40.7607104,819
-73.9134076,40.7770002,214
-73.9163213,40.7683596,816
-73.921639,40.7618363,921
-73.924533,40.7705685,574
-73.921395,40.7736104,0
-73.918221,40.7762039,390
-73.919789,40.7690863,478
-73.929875,40.7598385,333
-73.9284551,40.7547779,20
-73.9421454,40.7507629,552
-73.9359773,40.7509045,9
-73.917722,40.7805924,278
-73.91436,40.780419,577
-73.929522,40.7727991,309
-73.9263835,40.770518,142
-73.8643391,40.7586732,541
-73.8666607,40.7630946,163
-73.9465253,40.7533922,0
-73.9499939,40.754909,0
-73.9412801,40.7511212,0
-73.9400569,40.7506001,0
-73.938742,40.7500565,0
-73.9210197,40.7728783,0
-73.8919329,40.757819,213
-73.8865968,40.7544981,258
-73.8851686,40.7622826,225
-73.8808607,40.7657724,246
-73.8910086,40.7579181,241
-73.890666,40.7715333,173
-73.8890467,40.7679441,141
-73.8916769,40.7615934,301
-73.8882906,40.7638177,138
-73.8968423,40.7691452,142
-73.860954,40.755087,629
-73.8608028,40.7534389,537
-73.9356824,40.7669942,0
-73.9322724,40.7661945,591
-73.9360418,40.7586418,13
-73.9354118,40.7700974,0
-73.9380426,40.7686506,0
-73.9331358,40.7680225,189
-73.9311477,40.7674751,354
-73.937713,40.7655485,231
-73.9408306,40.7589373,48
-73.9380427,40.7578632,10
-73.8952765,40.7710271,169
-73.8758442,40.7666418,0
-73.8992482,40.755181,0
-73.901457,40.7684565,193
-73.9034254,40.7676385,0
