Longitude,Latitude,polygon_area,polygon_perimeter,polygon_density_250,polygon_density_500,mean_number_of_floors_250,mean_number_of_floors_500,std_number_of_floors_250,std_number_of_floors_500,units_density_250,units_density_500,population_density_250,population_density_500
-73.90916667,40.81310667,7.619243212382207e-12,1.3972662449494209e-05,32.0,119.0,3.817091561829295,3.271719083083272,2.885200602892124,2.279273093482972,2433.0,6481.0,4447.0,15026.0
-73.90918667,40.813045,7.619243212382207e-12,1.3972662449494209e-05,31.0,119.0,3.787207854065067,3.2992322363230544,2.873592168454436,2.2928825670024198,2415.0,6453.0,4447.0,15026.0
-73.909215,40.81297833,2.0104064316932894e-10,0.00011703483027046506,32.0,117.0,3.808673201780729,3.292128631565747,2.852534519790105,2.2672247816445945,2470.0,6319.0,4447.0,15026.0
-73.90924167,40.81290833,2.0104064316932894e-10,0.00011703483027046506,32.0,116.0,3.789107783939486,3.3087015257759766,2.8639241976764542,2.285372569450073,2437.0,6243.0,4951.0,13940.0
-73.90925667,40.812845,2.0104064316932894e-10,0.00011703483027046506,32.0,114.0,3.7928076473791443,3.2727934271837325,2.8480807838201874,2.097841385879773,2491.0,5221.0,4951.0,12990.0
-73.90928,40.81277667,2.0104064316932894e-10,0.00011703483027046506,32.0,112.0,3.7468473858950637,3.2782886909581626,2.8603978882728316,2.095661982705123,2320.0,5269.0,4951.0,12990.0
-73.90931167,40.81271,3.602527453332781e-11,3.3311888692066985e-05,31.0,110.0,3.7016222684794817,3.267401555693153,2.84981417551471,2.0838418342356553,2318.0,5230.0,4951.0,11820.0
-73.90934,40.81264333,3.602527453332781e-11,3.3311888692066985e-05,32.0,111.0,3.698053732754181,3.262401555693153,2.8253902491308036,2.0868746502048348,2337.0,5228.0,4951.0,11952.0
-73.90936333,40.81256167,3.602527453332781e-11,3.3311888692066985e-05,31.0,109.0,3.4446854393521877,3.2484438948360372,2.234945637618711,2.086132366813323,1765.0,5174.0,4083.0,11714.0
-73.90938333,40.812485,3.602527453332781e-11,3.3311888692066985e-05,30.0,108.0,3.43449618135865,3.2376959751340437,2.217145320013143,2.0844568761272937,1688.0,5117.0,4083.0,11714.0
-73.90939333,40.81240333,3.602527453332781e-11,3.3311888692066985e-05,31.0,108.0,3.4490098714861555,3.2276709124774023,2.212341317068174,2.08677702018431,1689.0,5086.0,4083.0,11714.0
-73.90942,40.81233,3.602527453332781e-11,3.3311888692066985e-05,32.0,109.0,3.4939458324308554,3.236510459048587,2.240308402612209,2.0865031551959436,1727.0,5089.0,4083.0,11714.0
-73.90945333,40.81223667,2.217767124945041e-12,6.336339267315362e-06,33.0,109.0,3.4888085471153616,3.235039731844262,2.241048409970633,2.1026572858136965,1718.0,5053.0,4083.0,10915.0
-73.90947667,40.81216333,2.217767124945041e-12,6.336339267315362e-06,33.0,105.0,3.522331258919457,3.2291299541323415,2.270756238834949,2.108248076690276,1602.0,4979.0,3900.0,10974.0
-73.90949333,40.81209333,2.217767124945041e-12,6.336339267315362e-06,32.0,104.0,3.483169501670337,3.22848501322556,2.283442654605817,2.107846646644048,1520.0,4963.0,3739.0,10974.0
-73.90952167,40.81203167,2.217767124945041e-12,6.336339267315362e-06,30.0,105.0,3.4446613560068355,3.223343625050753,2.278728849001145,2.0973955322287607,1523.0,4954.0,3739.0,10974.0
-73.90953,40.81198167,2.217767124945041e-12,6.336339267315362e-06,30.0,104.0,3.4163473045067696,3.2180895560151734,2.2837763670262126,2.092785943733397,1523.0,4931.0,3739.0,10974.0
-73.90954833,40.81194,2.217767124945041e-12,6.336339267315362e-06,31.0,103.0,3.400972035618486,3.2161872941874816,2.29793846506696,2.090422297359949,1521.0,4930.0,3739.0,10974.0
-73.90956333,40.8119,2.217767124945041e-12,6.336339267315362e-06,30.0,102.0,3.4049031340069025,3.1775275003730488,2.308830719381017,2.0131100534434085,1518.0,4726.0,3778.0,10974.0
-73.90958167,40.81186333,2.217767124945041e-12,6.336339267315362e-06,29.0,102.0,3.393862689461133,3.173266473464967,2.3251878524503984,2.008140912844151,1510.0,4701.0,3778.0,10974.0
-73.9096,40.81181167,2.217767124945041e-12,6.336339267315362e-06,29.0,102.0,3.3561630666913618,3.1690972461088673,2.33427749247952,2.015293407354008,1446.0,4695.0,3778.0,10974.0
-73.909615,40.81175333,2.217767124945041e-12,6.336339267315362e-06,29.0,102.0,3.364695464993013,3.1639911031768784,2.339175603854564,2.0222148800727746,1440.0,4629.0,3109.0,11246.0
-73.90963167,40.8117,2.217767124945041e-12,6.336339267315362e-06,27.0,107.0,3.3972647954664765,3.1680223603558595,2.362586011860413,2.01291926854224,1433.0,4964.0,3109.0,10800.0
-73.90964667,40.81164333,2.217767124945041e-12,6.336339267315362e-06,27.0,106.0,3.3695761230778216,3.1568926488158264,2.3732236496972643,2.0088577864660393,1417.0,4951.0,3109.0,10211.0
