,Date / Time,Air Temp at Surface [degC],Relative Humidity [percent],Avg Wind Speed [m/s],Wind Direction [degrees],Solar Flux [W/m^2],sun_altitude [deg],sun_azimuth [deg],Air Temp at Surface [degC],Relative Humidity [percent],Avg Wind Speed [m/s],Wind Direction [degrees],Solar Flux [W/m^2]
0,2021-07-24 06:00:00,21.3,66.5,0.9,348,10,1.721184447757643,65.08800439887266,19.3,88.2,0.8,335,12
1,2021-07-24 06:05:00,21.4,66.1,1.1,345,12,2.5813816278313366,65.89090363157132,19.4,87.9,0.8,329,18
2,2021-07-24 06:10:00,21.4,66.5,1.3,4,14,3.4469798553772213,66.68851969628129,19.3,87.6,0.7,321,25
3,2021-07-24 06:15:00,21.5,65.4,1.3,5,17,4.3177771729189205,67.48117328478692,19.4,87.4,0.5,307,33
4,2021-07-24 06:20:00,21.5,65.0,1.5,346,19,5.1935758562479615,68.26918780981133,19.4,87.0,0.2,301,42
5,2021-07-24 06:25:00,21.6,66.4,1.4,19,34,6.074182209311732,69.0528895730405,19.4,85.1,0.3,64,53
6,2021-07-24 06:30:00,21.7,65.6,1.3,41,61,6.959406355155549,69.83260797312442,19.4,84.3,0.2,56,65
7,2021-07-24 06:35:00,21.8,64.8,1.1,22,73,7.849062023060486,70.60867575345324,19.4,83.7,0.4,56,78
8,2021-07-24 06:40:00,21.9,62.7,1.2,11,84,8.742966331895907,71.38142928972253,19.4,83.2,0.8,40,91
9,2021-07-24 06:45:00,21.9,62.4,1.1,10,94,9.6409395696186,72.15120891751859,19.4,82.5,1.1,39,103
10,2021-07-24 06:50:00,22.1,61.5,1.3,43,106,10.542804968843392,72.91835930044793,19.4,81.1,1.7,38,115
11,2021-07-24 06:55:00,22.2,60.1,1.0,43,118,11.448388478171855,73.68322983949565,19.5,80.9,1.9,36,127
12,2021-07-24 07:00:00,22.1,60.4,1.2,2,130,12.357518529087017,74.44617512467484,19.6,80.5,1.1,47,140
13,2021-07-24 07:05:00,22.3,59.3,1.0,50,143,13.270025797937507,75.20755543018294,19.7,78.2,1.7,38,153
14,2021-07-24 07:10:00,22.3,59.1,2.0,38,156,14.185742962604584,75.96773725467177,19.8,77.0,1.1,25,167
15,2021-07-24 07:15:00,22.4,58.1,2.0,35,171,15.104504453248762,76.7270939084481,19.9,75.1,1.2,35,181
16,2021-07-24 07:20:00,22.6,57.8,2.6,43,183,16.026146196528444,77.48600614982894,20.0,74.4,1.8,17,195
