[ 2025-01-28 15:43:30,605 ] 67 root - INFO - Entered the data ingestion method or component
[ 2025-01-28 15:43:31,496 ] 78 root - INFO - Client opened
[ 2025-01-28 15:43:31,750 ] 88 root - INFO - Items satisfying criteria searched
[ 2025-01-28 15:43:33,042 ] 96 root - INFO - Items signed with the Planetary Computer API
[ 2025-01-28 15:44:03,544 ] 115 root - INFO - Median over the time dimension computed for every band in the dataset
[ 2025-01-28 15:44:03,574 ] 121 root - INFO - NDVI index computed
[ 2025-01-28 15:44:03,604 ] 126 root - INFO - NDBI index computed
[ 2025-01-28 15:44:03,630 ] 131 root - INFO - NDWI index computed
[ 2025-01-28 15:44:03,651 ] 158 root - INFO - Transformation to the EPSG:4326 CRS finished
[ 2025-01-28 15:44:12,627 ] 182 root - INFO - Raw data saved as .tiff files
[ 2025-01-28 15:44:12,628 ] 184 root - INFO - Ingestion of the data completed
